t,mse,failures
372, 11846.900766595363, 0
373, 11846.900766595363, 0
374, 11846.900766595363, 0
375, 11846.900766595363, 0
376, 11846.900766595363, 0
377, 11846.900766595363, 0
378, 11846.900766595363, 0
379, 11846.900766595363, 0
380, 11846.900766595363, 0
381, 11846.900766595363, 0
382, 11846.900766595363, 0
383, 11846.900766595363, 0
384, 11846.900766595363, 0
385, 11846.900766595363, 0
386, 11846.900766595363, 0
387, 11846.900766595363, 0
388, 11846.900766595363, 0
389, 11846.900766595363, 0
390, 11846.900766595363, 0
391, 11846.900766595363, 0
392, 11846.900766595363, 0
393, 11846.900766595363, 0
394, 11846.900766595363, 0
395, 11846.900766595363, 0
396, 11846.900766595363, 0
397, 11846.900766595363, 0
398, 11846.900766595363, 0
399, 11846.900766595363, 0
400, 11846.900766595363, 0
401, 11846.900766595363, 0
402, 11846.900766595363, 0
403, 11846.900766595363, 0
404, 11846.900766595363, 0
405, 11846.900766595363, 0
406, 11846.900766595363, 0
407, 11846.900766595363, 0
408, 11846.900766595363, 0
409, 11846.900766595363, 0
410, 11846.900766595363, 0
411, 11846.900766595363, 0
412, 11846.900766595363, 0
413, 11846.900766595363, 0
414, 11846.900766595363, 0
415, 11846.900766595363, 0
416, 11846.900766595363, 0
417, 11846.900766595363, 0
418, 11846.900766595363, 0
419, 11793.717807800682, 0
420, 11793.717807800682, 0
421, 11793.717807800682, 0
422, 11793.717807800682, 0
423, 11793.717807800682, 0
424, 11793.717807800682, 0
425, 11793.717807800682, 0
426, 11793.717807800682, 0
427, 11793.717807800682, 0
428, 11793.717807800682, 0
429, 11793.717807800682, 0
430, 11793.717807800682, 0
431, 11793.717807800682, 0
432, 11306.131130539226, 0
433, 11306.131130539226, 0
434, 11306.131130539226, 0
435, 11306.131130539226, 0
436, 11306.131130539226, 0
437, 11306.131130539226, 0
438, 11306.131130539226, 0
439, 11306.131130539226, 0
440, 11306.131130539226, 0
441, 11306.131130539226, 0
442, 11306.131130539226, 0
443, 11306.131130539226, 0
444, 11306.131130539226, 0
445, 11306.131130539226, 0
446, 11306.131130539226, 0
447, 11306.131130539226, 0
448, 11306.131130539226, 0
449, 11306.131130539226, 0
450, 11306.131130539226, 0
451, 11306.131130539226, 0
452, 11306.131130539226, 0
453, 11306.131130539226, 0
454, 11306.131130539226, 0
455, 11306.131130539226, 0
456, 11306.131130539226, 0
457, 11306.131130539226, 0
458, 11306.131130539226, 0
459, 11306.131130539226, 0
460, 11306.131130539226, 0
461, 11306.131130539226, 0
462, 11306.131130539226, 0
463, 11306.131130539226, 0
464, 11306.131130539226, 0
465, 11306.131130539226, 0
466, 11306.131130539226, 0
467, 11306.131130539226, 0
468, 11306.131130539226, 0
469, 11306.131130539226, 0
470, 11306.131130539226, 0
471, 11306.131130539226, 0
472, 11306.131130539226, 0
473, 11306.131130539226, 0
474, 11306.131130539226, 0
475, 11306.131130539226, 0
476, 11306.131130539226, 0
477, 11306.131130539226, 0
478, 11306.131130539226, 0
479, 11306.131130539226, 0
480, 11306.131130539226, 0
481, 11306.131130539226, 0
482, 11306.131130539226, 0
483, 11306.131130539226, 0
484, 11306.131130539226, 0
485, 11306.131130539226, 0
486, 11306.131130539226, 0
487, 11306.131130539226, 0
488, 11306.131130539226, 0
489, 11306.131130539226, 0
490, 11306.131130539226, 0
491, 11306.131130539226, 0
492, 11306.131130539226, 0
493, 11306.131130539226, 0
494, 11306.131130539226, 0
495, 11306.131130539226, 0
496, 11306.131130539226, 0
497, 11306.131130539226, 0
498, 11306.131130539226, 0
499, 11306.131130539226, 0
500, 11306.131130539226, 0
501, 11306.131130539226, 0
502, 11306.131130539226, 0
503, 11306.131130539226, 0
504, 11306.131130539226, 0
505, 11306.131130539226, 0
506, 11306.131130539226, 0
507, 11306.131130539226, 0
508, 11306.131130539226, 0
509, 11306.131130539226, 0
510, 11306.131130539226, 0
511, 11306.131130539226, 0
512, 11306.131130539226, 0
513, 11306.131130539226, 0
514, 11306.131130539226, 0
515, 11306.131130539226, 0
516, 11306.131130539226, 0
517, 11306.131130539226, 0
518, 11306.131130539226, 0
519, 11306.131130539226, 0
520, 11306.131130539226, 0
521, 11306.131130539226, 0
522, 11306.131130539226, 0
523, 11306.131130539226, 0
524, 11306.131130539226, 0
525, 11306.131130539226, 0
526, 11306.131130539226, 0
527, 11306.131130539226, 0
528, 11306.131130539226, 0
529, 11306.131130539226, 0
530, 11306.131130539226, 0
531, 11306.131130539226, 0
532, 11306.131130539226, 0
533, 11306.131130539226, 0
534, 11306.131130539226, 0
535, 11306.131130539226, 0
536, 11306.131130539226, 0
537, 11306.131130539226, 0
538, 11306.131130539226, 0
539, 11306.131130539226, 0
540, 11306.131130539226, 0
541, 11306.131130539226, 0
542, 11306.131130539226, 0
543, 11306.131130539226, 0
544, 11306.131130539226, 0
545, 11306.131130539226, 0
546, 11306.131130539226, 0
547, 11306.131130539226, 0
548, 11306.131130539226, 0
549, 11306.131130539226, 0
550, 11306.131130539226, 0
551, 11306.131130539226, 0
552, 11306.131130539226, 0
553, 11306.131130539226, 0
554, 11306.131130539226, 0
555, 11306.131130539226, 0
556, 11306.131130539226, 0
557, 11306.131130539226, 0
558, 11306.131130539226, 0
559, 11306.131130539226, 0
560, 11306.131130539226, 0
561, 11306.131130539226, 0
562, 11306.131130539226, 0
563, 11306.131130539226, 0
564, 11306.131130539226, 0
565, 11306.131130539226, 0
566, 11306.131130539226, 0
567, 11306.131130539226, 0
568, 11306.131130539226, 0
569, 11306.131130539226, 0
570, 11306.131130539226, 0
571, 11306.131130539226, 0
572, 11306.131130539226, 0
573, 11306.131130539226, 0
574, 11306.131130539226, 0
575, 11306.131130539226, 0
576, 11306.131130539226, 0
577, 11306.131130539226, 0
578, 11306.131130539226, 0
579, 11306.131130539226, 0
580, 11306.131130539226, 0
581, 11306.131130539226, 0
582, 11306.131130539226, 0
583, 11306.131130539226, 0
584, 11306.131130539226, 0
585, 11306.131130539226, 0
586, 11306.131130539226, 0
587, 11306.131130539226, 0
588, 11306.131130539226, 0
589, 11306.131130539226, 0
590, 11306.131130539226, 0
591, 11306.131130539226, 0
592, 11306.131130539226, 0
593, 11306.131130539226, 0
594, 11306.131130539226, 0
595, 11306.131130539226, 0
596, 11306.131130539226, 0
597, 11306.131130539226, 0
598, 11306.131130539226, 0
599, 11306.131130539226, 0
600, 11306.131130539226, 0
601, 11306.131130539226, 0
602, 11306.131130539226, 0
603, 11306.131130539226, 0
604, 11306.131130539226, 0
605, 11306.131130539226, 0
606, 11306.131130539226, 0
607, 11306.131130539226, 0
608, 11306.131130539226, 0
609, 11306.131130539226, 0
610, 11306.131130539226, 0
611, 11306.131130539226, 0
612, 11306.131130539226, 0
613, 11306.131130539226, 0
614, 11306.131130539226, 0
615, 11306.131130539226, 0
616, 11306.131130539226, 0
617, 11306.131130539226, 0
618, 11306.131130539226, 0
619, 11306.131130539226, 0
620, 11306.131130539226, 0
621, 11306.131130539226, 0
622, 11306.131130539226, 0
623, 11306.131130539226, 0
624, 11306.131130539226, 0
625, 11306.131130539226, 0
626, 11306.131130539226, 0
627, 11306.131130539226, 0
628, 11306.131130539226, 0
629, 11306.131130539226, 0
630, 11306.131130539226, 0
631, 11306.131130539226, 0
632, 11306.131130539226, 0
633, 11306.131130539226, 0
634, 11306.131130539226, 0
635, 11306.131130539226, 0
636, 11306.131130539226, 0
637, 11306.131130539226, 0
638, 11306.131130539226, 0
639, 11306.131130539226, 0
640, 11306.131130539226, 0
641, 11306.131130539226, 0
642, 11306.131130539226, 0
643, 11306.131130539226, 0
644, 11306.131130539226, 0
645, 11306.131130539226, 0
646, 11306.131130539226, 0
647, 11306.131130539226, 0
648, 11306.131130539226, 0
649, 11306.131130539226, 0
650, 11306.131130539226, 0
651, 11306.131130539226, 0
652, 11306.131130539226, 0
653, 11306.131130539226, 0
654, 11306.131130539226, 0
655, 11306.131130539226, 0
656, 11306.131130539226, 0
657, 11306.131130539226, 0
658, 11306.131130539226, 0
659, 11306.131130539226, 0
660, 11306.131130539226, 0
661, 11306.131130539226, 0
662, 11306.131130539226, 0
663, 11306.131130539226, 0
664, 11306.131130539226, 0
665, 11306.131130539226, 0
666, 11306.131130539226, 0
667, 11306.131130539226, 0
668, 11306.131130539226, 0
669, 11306.131130539226, 0
670, 11306.131130539226, 0
671, 11306.131130539226, 0
672, 11306.131130539226, 0
673, 11306.131130539226, 0
674, 11306.131130539226, 0
675, 11306.131130539226, 0
676, 11306.131130539226, 0
677, 11306.131130539226, 0
678, 11306.131130539226, 0
679, 11306.131130539226, 0
680, 11306.131130539226, 0
681, 11306.131130539226, 0
682, 11306.131130539226, 0
683, 11306.131130539226, 0
684, 11306.131130539226, 0
685, 11306.131130539226, 0
686, 11306.131130539226, 0
687, 11306.131130539226, 0
688, 11306.131130539226, 0
689, 11306.131130539226, 0
690, 11306.131130539226, 0
691, 11306.131130539226, 0
692, 11306.131130539226, 0
693, 11306.131130539226, 0
694, 11306.131130539226, 0
695, 11306.131130539226, 0
696, 11306.131130539226, 0
697, 11306.131130539226, 0
698, 11306.131130539226, 0
699, 11306.131130539226, 0
700, 11306.131130539226, 0
701, 11306.131130539226, 0
702, 11306.131130539226, 0
703, 11306.131130539226, 0
704, 11306.131130539226, 0
705, 11306.131130539226, 0
706, 11306.131130539226, 0
707, 11306.131130539226, 0
708, 11306.131130539226, 0
709, 11306.131130539226, 0
710, 11306.131130539226, 0
711, 11306.131130539226, 0
712, 11306.131130539226, 0
713, 11306.131130539226, 0
714, 11306.131130539226, 0
715, 11306.131130539226, 0
716, 11306.131130539226, 0
717, 11306.131130539226, 0
718, 11306.131130539226, 0
719, 11306.131130539226, 0
720, 11306.131130539226, 0
721, 11306.131130539226, 0
722, 11306.131130539226, 0
723, 11306.131130539226, 0
724, 11306.131130539226, 0
725, 11306.131130539226, 0
726, 11306.131130539226, 0
727, 11306.131130539226, 0
728, 11306.131130539226, 0
729, 11306.131130539226, 0
730, 11306.131130539226, 0
731, 11306.131130539226, 0
732, 11306.131130539226, 0
733, 11306.131130539226, 0
734, 11306.131130539226, 0
735, 11306.131130539226, 0
736, 11306.131130539226, 0
737, 11306.131130539226, 0
738, 11306.131130539226, 0
739, 11306.131130539226, 0
740, 11306.131130539226, 0
741, 11306.131130539226, 0
742, 11306.131130539226, 0
743, 11306.131130539226, 0
744, 11306.131130539226, 0
745, 11306.131130539226, 0
746, 11306.131130539226, 0
747, 11306.131130539226, 0
748, 11306.131130539226, 0
749, 11306.131130539226, 0
750, 11306.131130539226, 0
751, 11306.131130539226, 0
752, 11306.131130539226, 0
