0, Infinity, Infinity, 86310.25642827815, Infinity, 87244.0647337767, 85924.87378699318, Infinity, Infinity, 2.237545196951416E269, 441114.53780626267, Infinity, 87244.0647337767, Infinity, Infinity, 6.287780297397244E8, Infinity, Infinity, Infinity, 4.665524109288783E168, 1.618936348145231E81
17, 19058.464896153095, 18810.788828687255, 18849.19929911953, 18851.670366050097, 18866.50690900225, 18884.812314785846, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.886111139298, 23987.545239867028, 24889.502285286708, 36135.03276854044, 72578.59264133776, 85924.87378699318, 86310.25642827815, 87244.0647337767, 87244.0647337767, 18339.57523443953
18, 20722.52042881949, 18810.788828687255, 18849.19929911953, 18851.670366050097, 18866.50690900225, 18884.812314785846, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.886111139298, 23987.545239867028, 24889.502285286708, 36135.03276854044, 72578.59264133776, 85924.87378699318, 86310.25642827815, 87244.0647337767, 87244.0647337767
19, 18911.685133393334, 18810.788828687255, 18849.19929911953, 18851.670366050097, 18866.50690900225, 18884.812314785846, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.886111139298, 20722.52042881949, 23987.545239867028, 24889.502285286708, 36135.03276854044, 72578.59264133776, 85924.87378699318, 86310.25642827815, 87244.0647337767
20, Infinity, 18810.788828687255, 18849.19929911953, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.886111139298, 20722.52042881949, 23987.545239867028, 24889.502285286708, 36135.03276854044, 72578.59264133776, 85924.87378699318, 86310.25642827815
21, 19058.464896153095, 18810.788828687255, 18849.19929911953, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.886111139298, 20722.52042881949, 23987.545239867028, 24889.502285286708, 36135.03276854044, 72578.59264133776, 85924.87378699318, 86310.25642827815
22, 18849.561128480324, 18810.788828687255, 18849.19929911953, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.886111139298, 20722.52042881949, 23987.545239867028, 24889.502285286708, 36135.03276854044, 72578.59264133776, 85924.87378699318
23, 18844.323025395097, 18810.788828687255, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.886111139298, 20722.52042881949, 23987.545239867028, 24889.502285286708, 36135.03276854044, 72578.59264133776
24, 18997.26633721736, 18810.788828687255, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.886111139298, 20722.52042881949, 23987.545239867028, 24889.502285286708, 36135.03276854044
25, 23734.75057425069, 18810.788828687255, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18997.26633721736, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.886111139298, 20722.52042881949, 23987.545239867028, 24889.502285286708
26, 18686.79789668599, 18810.788828687255, 18844.323025395097, 18849.19929911953, 18849.561128480324, 18851.670366050097, 18866.50690900225, 18884.812314785846, 18911.685133393334, 18997.26633721736, 19047.39916583301, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.464896153095, 19058.886111139298, 20722.52042881949, 23734.75057425069, 23987.545239867028
